Academic Year,LEA Number,LEA Name,School Number,School Name,Assessment,Tested Count,Level 1: Did not yet meet expectations - Count,Level 1: Did not yet meet expectations - Percent,Level 2: Partially met expectations - Count,Level 2: Partially met expectations - Percent,Level 3: Approached expectations - Count,Level 3: Approached expectations - Percent,Level 4: Met expectations - Count,Level 4: Met expectations - Percent,Level 5: Exceeded expectations - Count,Level 5: Exceeded expectations - Percent,Create Date
2015,02,Anne Arundel,2072,Benfield Elementary,Mathematics Grade 5,86,*,<= 5.0,6,7,14,16.3,53,61.6,13,15.1,20160108
2015,02,Anne Arundel,2082,Bodkin Elementary,English/Language Arts Grade 3,113,8,7.1,7,6.2,21,18.6,63,55.8,14,12.4,20160108
2015,02,Anne Arundel,2082,Bodkin Elementary,English/Language Arts Grade 4,99,*,<= 5.0,12,12.1,20,20.2,49,49.5,17,17.2,20160108
2015,02,Anne Arundel,2082,Bodkin Elementary,English/Language Arts Grade 5,107,6,5.6,13,12.1,28,26.2,55,51.4,*,<= 5.0,20160108
2015,02,Anne Arundel,2082,Bodkin Elementary,Mathematics Grade 3,113,6,5.3,22,19.5,23,20.4,53,46.9,9,8,20160108
2015,02,Anne Arundel,2082,Bodkin Elementary,Mathematics Grade 4,99,*,<= 5.0,15,15.2,48,48.5,32,32.3,*,<= 5.0,20160108
2015,02,Anne Arundel,2082,Bodkin Elementary,Mathematics Grade 5,107,*,<= 5.0,30,28,36,33.6,32,29.9,*,<= 5.0,20160108
2015,02,Anne Arundel,2092,Cape St. Claire Elementary,English/Language Arts Grade 3,98,5,5.1,13,13.3,21,21.4,51,52,8,8.2,20160108
2015,02,Anne Arundel,2092,Cape St. Claire Elementary,English/Language Arts Grade 4,118,*,<= 5.0,11,9.3,32,27.1,56,47.5,14,11.9,20160108
2015,02,Anne Arundel,2092,Cape St. Claire Elementary,English/Language Arts Grade 5,122,*,<= 5.0,15,12.3,30,24.6,68,55.7,*,<= 5.0,20160108
2015,02,Anne Arundel,2092,Cape St. Claire Elementary,Mathematics Grade 3,98,5,5.1,16,16.3,23,23.5,45,45.9,9,9.2,20160108
2015,02,Anne Arundel,2092,Cape St. Claire Elementary,Mathematics Grade 4,118,7,5.9,15,12.7,34,28.8,55,46.6,7,5.9,20160108
2015,02,Anne Arundel,2092,Cape St. Claire Elementary,Mathematics Grade 5,121,*,<= 5.0,19,15.7,41,33.9,50,41.3,7,5.8,20160108
2015,02,Anne Arundel,2102,Folger Mckinsey Elementary,English/Language Arts Grade 3,92,*,<= 5.0,*,<= 5.0,15,16.3,45,48.9,24,26.1,20160108
2015,02,Anne Arundel,2102,Folger Mckinsey Elementary,English/Language Arts Grade 4,102,*,<= 5.0,12,11.8,18,17.6,47,46.1,23,22.5,20160108
2015,02,Anne Arundel,2102,Folger Mckinsey Elementary,English/Language Arts Grade 5,102,*,<= 5.0,6,5.9,13,12.7,61,59.8,19,18.6,20160108
2015,02,Anne Arundel,2102,Folger Mckinsey Elementary,Mathematics Grade 3,92,*,<= 5.0,10,10.9,14,15.2,43,46.7,23,25,20160108
2015,02,Anne Arundel,2102,Folger Mckinsey Elementary,Mathematics Grade 4,104,*,<= 5.0,12,11.5,22,21.2,59,56.7,8,7.7,20160108
